Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option2 name,Option2 value,Option3 name,Option3 value,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Variant Inventory Policy,Inventory policy,Continue selling when out of stock,Inventory quantity,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Somersault Boy Cotton Sleepsuit – Orange,somersault-boy-cotton-sleepsuit-orange,"Soft & breathable interlock cotton

Polo collar with cute print detailing

Nickel-free snap buttons for easy changes

Full sleeves for extra coziness

Perfect for playtime & sleep

100% Cotton (Interlock Knit)

Machine wash gentle

Do not bleach

Tumble dry low / Line dry",Somer Sault,Fashion,"Top Wear, Bottom Wear","Fashion, Top Wear, Bottom Wear, Full Bodysuit, Boy",TRUE,Active,,,Size,0-3M,,,,,1079.00,1199.00,839.30,TRUE,,,,,,,deny,deny,FALSE,10,,,TRUE,manual,https://www.somersault.life/cdn/shop/files/B-SL-1470-ORG_1-4Y_058bddf9-ee54-4e4f-a6cc-786c84eb6532_800x.webp?v=1761905010,1,,,FALSE,Somersault Boy Cotton Sleepsuit – Orange,"Soft & breathable interlock cotton

Polo collar with cute print detailing

Nickel-free snap buttons for easy changes

Full sleeves for extra coziness

Perfect for playtime & sleep

100% Cotton (Interlock Knit)

Machine wash gentle

Do not bleach

Tumble dry low / Line dry",Fashion,,,,,,,,,,,,
Somersault Boy Cotton Sleepsuit – Orange,somersault-boy-cotton-sleepsuit-orange,"Soft & breathable interlock cotton

Polo collar with cute print detailing

Nickel-free snap buttons for easy changes

Full sleeves for extra coziness

Perfect for playtime & sleep

100% Cotton (Interlock Knit)

Machine wash gentle

Do not bleach

Tumble dry low / Line dry",Somer Sault,Fashion,"Top Wear, Bottom Wear","Fashion, Top Wear, Bottom Wear, Full Bodysuit, Boy",TRUE,Active,,,Size,3-6M,,,,,1079.00,1199.00,839.30,TRUE,,,,,,,deny,deny,FALSE,10,,,TRUE,manual,,,,,FALSE,Somersault Boy Cotton Sleepsuit – Orange,"Soft & breathable interlock cotton

Polo collar with cute print detailing

Nickel-free snap buttons for easy changes

Full sleeves for extra coziness

Perfect for playtime & sleep

100% Cotton (Interlock Knit)

Machine wash gentle

Do not bleach

Tumble dry low / Line dry",Fashion,,,,,,,,,,,,
Somersault Boy Cotton Sleepsuit – Orange,somersault-boy-cotton-sleepsuit-orange,"Soft & breathable interlock cotton

Polo collar with cute print detailing

Nickel-free snap buttons for easy changes

Full sleeves for extra coziness

Perfect for playtime & sleep

100% Cotton (Interlock Knit)

Machine wash gentle

Do not bleach

Tumble dry low / Line dry",Somer Sault,Fashion,"Top Wear, Bottom Wear","Fashion, Top Wear, Bottom Wear, Full Bodysuit, Boy",TRUE,Active,,,Size,6-9M,,,,,1079.00,1199.00,839.30,TRUE,,,,,,,deny,deny,FALSE,10,,,TRUE,manual,,,,,FALSE,Somersault Boy Cotton Sleepsuit – Orange,"Soft & breathable interlock cotton

Polo collar with cute print detailing

Nickel-free snap buttons for easy changes

Full sleeves for extra coziness

Perfect for playtime & sleep

100% Cotton (Interlock Knit)

Machine wash gentle

Do not bleach

Tumble dry low / Line dry",Fashion,,,,,,,,,,,,
Somersault Boy Cotton Sleepsuit – Orange,somersault-boy-cotton-sleepsuit-orange,"Soft & breathable interlock cotton

Polo collar with cute print detailing

Nickel-free snap buttons for easy changes

Full sleeves for extra coziness

Perfect for playtime & sleep

100% Cotton (Interlock Knit)

Machine wash gentle

Do not bleach

Tumble dry low / Line dry",Somer Sault,Fashion,"Top Wear, Bottom Wear","Fashion, Top Wear, Bottom Wear, Full Bodysuit, Boy",TRUE,Active,,,Size,9-12M,,,,,1079.00,1199.00,839.30,TRUE,,,,,,,deny,deny,FALSE,10,,,TRUE,manual,,,,,FALSE,Somersault Boy Cotton Sleepsuit – Orange,"Soft & breathable interlock cotton

Polo collar with cute print detailing

Nickel-free snap buttons for easy changes

Full sleeves for extra coziness

Perfect for playtime & sleep

100% Cotton (Interlock Knit)

Machine wash gentle

Do not bleach

Tumble dry low / Line dry",Fashion,,,,,,,,,,,,
Somersault Boy Cotton Sleepsuit – Orange,somersault-boy-cotton-sleepsuit-orange,"Soft & breathable interlock cotton

Polo collar with cute print detailing

Nickel-free snap buttons for easy changes

Full sleeves for extra coziness

Perfect for playtime & sleep

100% Cotton (Interlock Knit)

Machine wash gentle

Do not bleach

Tumble dry low / Line dry",Somer Sault,Fashion,"Top Wear, Bottom Wear","Fashion, Top Wear, Bottom Wear, Full Bodysuit, Boy",TRUE,Active,,,Size,12-18M,,,,,1079.00,1199.00,839.30,TRUE,,,,,,,deny,deny,FALSE,10,,,TRUE,manual,,,,,FALSE,Somersault Boy Cotton Sleepsuit – Orange,"Soft & breathable interlock cotton

Polo collar with cute print detailing

Nickel-free snap buttons for easy changes

Full sleeves for extra coziness

Perfect for playtime & sleep

100% Cotton (Interlock Knit)

Machine wash gentle

Do not bleach

Tumble dry low / Line dry",Fashion,,,,,,,,,,,,
,somersault-boy-cotton-sleepsuit-orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.somersault.life/cdn/shop/files/2_335c14a3-a00d-4cef-b84b-c4316a58fa09_800x.webp?v=1764843884,2,,,,,,,,,,,,,,,,,,
,somersault-boy-cotton-sleepsuit-orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.somersault.life/cdn/shop/files/3_714be16f-f290-47cf-b334-9c8f559a8128_800x.webp?v=1764843884,3,,,,,,,,,,,,,,,,,,
,somersault-boy-cotton-sleepsuit-orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.somersault.life/cdn/shop/files/4_114e8b94-4e5d-4a93-9fc6-7c520dd9d30c_800x.webp?v=1764843884,4,,,,,,,,,,,,,,,,,,
,somersault-boy-cotton-sleepsuit-orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.somersault.life/cdn/shop/files/5_407b1571-5d28-43cb-b8a9-703543512a0b_800x.webp?v=1764843884,5,,,,,,,,,,,,,,,,,,
Somersault Boy Dhoti Kurta Embroidered With Jacket – Green (2 Pieces),somersault-boy-dhoti-kurta-embroidered-with-jacket-green-2-pieces,"Soft cotton festive set with zari embroidery

Band collar & front placket for a neat ethnic look

Elastic dhoti for a gentle, secure fit

30’S Cross Slub Woven Cotton

Gentle machine wash or hand wash

Do not bleach

Dry in shade and iron on low (avoid embroidery)",Somer Sault,Fashion,"Top Wear, Bottom Wear, Ethnic Wear","Fashion, Top Wear, Bottom Wear, Ethnic Wear, Ethnic Wear, Boy",TRUE,Active,,,Size,0-3M,,,,,1529.00,1699.00,1189.30,TRUE,,,,,,,deny,deny,FALSE,10,,,TRUE,manual,https://www.somersault.life/cdn/shop/files/1657-GREEN_1-4Y_800x.webp?v=1759120277,1,,,FALSE,Somersault Boy Dhoti Kurta Embroidered With Jacket – Green (2 Pieces),"Soft cotton festive set with zari embroidery

Band collar & front placket for a neat ethnic look

Elastic dhoti for a gentle, secure fit

30’S Cross Slub Woven Cotton

Gentle machine wash or hand wash

Do not bleach

Dry in shade and iron on low (avoid embroidery)",Fashion,,,,,,,,,,,,
